NAME,TICKER
Paris Saint-Germain Fan Token,PSG                 
Pax Dollar,USDP                
PAX Gold Token,PAXG                
Perlin Token,PERL                
Perpetual Protocol Token,PERP                
Phala.Network Coin,PHA                 
Phoenix Global Token,PHB                 
PIVX Coin,PIVX                    
PlayDapp Token,PLA                 
pNetwork Token,PNT                 
Po.et Token,POE                 
POA Network Coin,POA                     
Polkadot Coin,DOT                 
Polkastarter Token,POLS                
Polymath Token,POLY                
Populous Coin,PPT
Power Ledger Coin,POWR                    
Powerpool Token,CVP                 
Prometeus Token,PROM                
Prosper Token,PROS                
Proton                ,XPR      
Pundi X [NEW] Token,PUNDIX              
Pundi X PURSE Token,PURSE               
QiSwap Token,QISWAP              
QLC Chain Token,QLC                 
Qtum Coin,QTUM                
Quant Token,QNT                 
Quantstamp Coin,QSP                     
QuarkChain,QKC                 
Quickswap Token,QUICK               
Radicle Coin,RAD                 
Raiden Network Coin,RDN                     
RAMP Token,RAMP                
Rari Governance Token,RGT                 
Ravencoin,RVN                 
Raydium Token,RAY                 
Reef Token,REEF                
REN Token,REN                 
RenBTC Token,RENBTC              
Render Token,RNDR                
Request Network Coin,REQ                     
Reserve Rights Coin,RSR                 
Ripio Credit Network,RCN                     
RSK Infrastructure Token,RIF                 
Rupiah Token,IDRT                
SafeMoon V2 Token,SFM                 
SafePal Token,SFP                 
SALT Coin,SALT                    
Santos FC Fan Token,SANTOS              
Secret Coin,SCRT                
Selfkey Token,KEY                 
Serum Coin,SRM                 
Shiba Inu Token,SHIB                
Siacoin,SC                  
SingularDTV Token,SNGLS                   
SingularityNET Token,AGIX                    
SKALE Network Token,SKL                 
Skycoin,SKY                     
Smooth Love Potion Token,SLP                 
snglsDAO Token,SGT                 
Solana Coin,SOL                 
Sologenic Token,SOLO                
Songbird Token,SGB                 
SONM Coin,SNM                     
Spartan Protocol Token,SPARTA              
Spell Token,SPELL               
SSV Network Token,SSV                 
Stacks Coin,STX                 
Stafi Token,FIS                 
Standard Tokenization Protocol           ,STPT        
Status Token,SNT                 
Steem Coin,STEEM                   
Stellar,XLM                 
Storj Coin,STORJ               
Storm Token,STORM               
StormX Token,STMX                
Stratis Coin,STRAX                   
Streamr DATAcoin,DATA                    
Substratum Coin,SUB                     
SUN Token,SUN                 
SuperFarm Token,SUPER               
SuperRare Token,RARE                
sUSD,SUSD                
SushiSwap Token,SUSHI               
Swerve Token,SWRV                
Swipe Token,SXP                 
Symbol Coin,XYM                 
Synthetix Network Token,SNX                 
Syscoin,SYS                     
Tael Token,WABI                    
TBCC Token,TBCC                
Tellor Token,TRB                 
Terra Coin,LUNA                
Terra Virtua Kolect Token,TVK                 
TerraUSD             ,UST                 
Tether,USDT                
Tezos,XTZ                 
The Graph Token,GRT                 
The Sandbox Token,SAND                
Theta Fuel Coin,TFUEL                  
Theta Token,THETA                  
THORChain Token,RUNE                   
Threshold Token,T                      
Tierion Coin,TNT                        
TokenClub Token,TCT                    
Toko Token,TKO                    
TomoChain Token,TOMO                   
Tornado Cash Token,TORN                   
Tranchess Token,CHESS                  
Travala.com Token,AVA                    
Tribe Token,TRIBE                  
TRON Coin,TRX                    
TROY Token,TROY                   
TrueFi Token,TRU                    
TrueUSD,TUSD                   
Trust Wallet Token,TWT                    
UMA Token,UMA                    
Unbound Dollar,UND                    
Unifi Protocol DAO Token,UNFI                   
Unilend Finance Token                    , UFT    
Uniswap Token,UNI                    
Unizen Token,ZCX                    
USD Coin,USDC                   
UTRUST Token,UTK                    
Vabble Token,VAB                 
Vai Token,VAI                 
VeChain Token,VET                 
VeChainThor Token,VTHO                
Venus Reward Token,VRT                 
Venus Token,XVS                 
Verge Coin,XVG                     
Viberate Coin,VIB                     
VIDT Datalink Token,VIDT                
VITE Token,VITE                
Voxies Token,VOXEL               
Voyager Token,VGX                 
Vulcan Forged PYR Token,PYR                 
Waltonchain Coin,WTC                 
Wanchain,WAN                 
Waves Coin,WAVES               
WAX Coin,WAXP                
WazirX Token,WRX                 
WETH Token,WETH                
Wing Token,WING                
Wings Coin,WINGS                   
WINk Token,WIN                 
WOO Network Token,WOO                 
Wrapped Bitcoin,WBTC                
Wrapped BNB,WBNB                
Wrapped NXM Token,WNXM                 
XRP,XRP                  
Yearn. Finance Token,YFI                  
Yield Guild Games Token,YGG                  
YOYOW Coin,YOYOW                    
Zcash Coin,ZEC                  
Zilliqa Coin,ZIL                      
